CollateralID,LoanID,AssetType,AssetDescription,EstimatedValue,OwnershipVerified,VerificationDate
1,1,House,"3BHK Villa, Hyderabad",6500000.0,True,2023-01-12
2,2,House,"Luxury Villa, Hyderabad",10000000.0,True,2022-11-18
3,3,Commercial Property,"Factory, Ahmedabad",18000000.0,True,2021-06-08
4,4,Gold,250 grams Gold,1400000.0,True,2024-02-04
5,5,Education Bond,Education Security,900000.0,True,2024-07-01
6,6,Apartment,"2BHK Flat, Pune",5200000.0,True,2023-03-16
7,7,Vehicle,Toyota Fortuner,2100000.0,True,2024-01-22
8,8,Apartment,"Flat, Bengaluru",3800000.0,True,2022-08-12
9,9,Commercial Building,Office Building,14000000.0,True,2021-12-05
10,10,Vehicle,Hyundai Creta,1800000.0,True,2020-05-17
11,11,Gold,Gold Jewellery,850000.0,True,2025-01-09
12,12,House,Independent House,6000000.0,True,2023-09-10
13,13,Industrial Land,Manufacturing Unit,22000000.0,True,2022-04-26
14,14,Fixed Deposit,FD Receipt,1500000.0,True,2024-03-14
15,15,Commercial Property,Warehouse,13500000.0,True,2021-09-28
16,16,Vehicle,BMW 3 Series,2800000.0,True,2024-05-15
17,17,Apartment,Residential Flat,4200000.0,True,2023-06-20
18,18,Gold,Gold Coins,1500000.0,True,2024-08-10
19,19,Commercial Land,Industrial Plot,9500000.0,True,2022-01-28
20,20,House,Duplex House,5500000.0,True,2023-02-26
21,21,Fixed Deposit,FD Security,1200000.0,True,2024-04-16
22,22,Education Bond,Education Deposit,1300000.0,True,2023-11-04
23,23,Industrial Property,Manufacturing Plant,20000000.0,True,2022-07-10
24,24,Medical Equipment,Hospital Equipment,1800000.0,True,2024-06-03
25,25,Commercial Complex,Shopping Complex,16500000.0,True,2023-04-28
